Ticker,Start Date,End Date,Investment,Total Profit,Percentage Return
AAPL,2014-01-01,2014-12-31,0.0,0.0,0.0
AAPL,2015-01-01,2015-12-31,199.0042926903482,9.841929233479924,4.945586399381857
AAPL,2016-01-01,2016-12-31,119.16496439852011,8.046385088784557,6.752307718462662
AAPL,2017-01-01,2017-12-31,248.04908405018355,16.898048060412158,6.812380753235704
AAPL,2018-01-01,2018-12-31,242.864128785833,7.857520384088879,3.235356502984409
AAPL,2019-01-01,2019-12-31,90.69906678182753,5.601332998445905,6.175733882598435
AAPL,2020-01-01,2020-12-31,481.845680427293,112.90392284419134,23.431552347645816
AAPL,2021-01-01,2021-12-31,0.0,0.0,0.0
AAPL,2022-01-01,2022-12-31,320.34785838444884,-25.091968491870716,-7.832725531056273
AAPL,2023-01-01,2023-12-31,897.1503224248045,8.449653161133,0.9418324833563458
MSFT,2014-01-01,2014-12-31,247.21552828856494,47.59402295044877,19.252036180710355
MSFT,2015-01-01,2015-12-31,199.48715726838174,1.3409524728292155,0.6721999005806443
MSFT,2016-01-01,2016-12-31,148.10211815665767,10.132020332111864,6.841239313940492
MSFT,2017-01-01,2017-12-31,0.0,0.0,0.0
MSFT,2018-01-01,2018-12-31,0.0,0.0,0.0
MSFT,2019-01-01,2019-12-31,888.6277293238061,54.78184709220956,6.164769034823543
MSFT,2020-01-01,2020-12-31,746.5836440633376,80.5442245890062,10.788372505810361
MSFT,2021-01-01,2021-12-31,0.0,0.0,0.0
MSFT,2022-01-01,2022-12-31,527.7420037104575,4.659531323722177,0.8829184129672955
MSFT,2023-01-01,2023-12-31,2930.149852805195,-46.549907736835394,-1.588652801912864
GOOGL,2014-01-01,2014-12-31,0.0,0.0,0.0
GOOGL,2015-01-01,2015-12-31,130.81300163269043,3.5150012969970703,2.687042765723575
GOOGL,2016-01-01,2016-12-31,232.31550216674805,8.046989440917969,3.4638194032966934
GOOGL,2017-01-01,2017-12-31,187.2020034790039,1.6359939575195312,0.8739190431276661
GOOGL,2018-01-01,2018-12-31,176.49499893188477,4.6510009765625,2.635202699628602
GOOGL,2019-01-01,2019-12-31,59.58599853515625,-2.6079978942871094,-4.376863623000911
GOOGL,2020-01-01,2020-12-31,280.7145004272461,32.20349884033203,11.471975545017612
GOOGL,2021-01-01,2021-12-31,963.1279983520508,148.18401336669922,15.385703003157191
GOOGL,2022-01-01,2022-12-31,375.11000061035156,-19.727996826171875,-5.259256429866419
GOOGL,2023-01-01,2023-12-31,570.1599960327148,92.7400131225586,16.265612068167147
AMZN,2014-01-01,2014-12-31,15.442000389099121,1.8555002212524414,12.015931708966175
AMZN,2015-01-01,2015-12-31,0.0,0.0,0.0
AMZN,2016-01-01,2016-12-31,315.77100372314453,29.527503967285156,9.350923175065718
AMZN,2017-01-01,2017-12-31,185.47650146484375,10.173492431640625,5.485057326018717
